내용,평점,공감수,작성일
아니 제발 다시보기 오류좀 고쳐줘요 광고만 10번을 쳐봤는데 왜 영상이 나오질 안냐고요 ,1.0,0,2019-1-8
전 버전에는 티비로 연동하여 플레이 가능했었는데 최신버전은 기능이 없어진건가요? 제가 메뉴를 못 찾는건지요?,1.0,0,2019-6-17
업뎃후 방송이 계속 끊기거나 똑같은장면이 반복됩니다,1.0,0,2019-7-3
사운드 컨트롤 부분 없애서요? 아무리 찾아도 보이지 않네요.,2.0,0,2019-7-7
저이거어플키면 계속 라디오모드로만되는데 ...시청으로 바꿔도 계속 라디오모드입니다,2.0,0,2019-7-11
라디오 모드로 하면 음질이 떨어집니다 수면 asrm 들을때 차이 많이 납니다,3.0,0,2019-7-26
업데이트를 하고 나서 계속 서버가 접속이 안된다면서 앱에 안 들어가지네요 갈수록 사용이 불편해지고 있습니다,1.0,0,2019-7-26
와이파이켜고 모바일로보려고하는데 로딩도안되고 광고도안나오고 왜이러는건가요?,1.0,0,2019-8-11
업데이트를 했으면 예외처리 라는걸 해야죠.. ios 10.0 미만은 지원 안되는 업댓을 하고 무조건 업댓을 하라고 해놓으면 어쩌자는거에요? 쓰지말라는건가요? 생각좀 합시다.. 예외처리. 개발자 기본이 안되어있으시네..,1.0,10,2019-8-7
네트워크 문제 1도 없고 다른 인터넷 사용은 다 되는데 버퍼 너무 심하고 시청자 없는 방 저화질로 봐도 튕김..,1.0,0,2019-9-9
갤럭시탭4 8.0인데요 방송을보면고화질이나최고화질을해도화면이버퍼링걸린거마냥끊겨요 방송을못보겟어요,1.0,1,2019-11-2
요즘 vod재생에서 기록에서 최근본vod가 계속지워지네요 이유를 모르겠네요 최근본VOD기록이 계속 지워져서 다시보기 넘 힘들어요,5.0,1,2019-12-15
생방송은 미러링이 되는데 vod는 지원이 안되네요,3.0,0,2020-1-7
야 채팅화면 검정으로 바꾸는거 업뎃 안해?,1.0,0,2020-1-20
채팅할려는데 로그인에 이메일꽉찬다고안되서 슬펐죠..,2.0,0,2020-2-4
데이터 정보가 안된다면서 다시깔아도 아프리카첫화면에서 안넘어가지네요 서버접속에실패하엿습니다,1.0,0,2019-1-9
다시보기도 저화질로 볼 순 없나요? 인터넷이 느린 환경에서 다시보기가 너무 짜증납니다,3.0,2,2019-1-1
내가 진짜 아프리카앱 사용하면서 처음 리뷰써보는데 어떻게된게 업데이트 할수록 그지같아지는지 도통 알수가없고 관리자가 정말 무능함의 끝인듯.트위치나 유튜브보면서 위기감도 안드나?그냥 제발 아예 건들질말아,1.0,0,2019-2-1
잘 되다가 업데이트 하고나서 화면이 갑자기 중지되고 어플이 종료가 돼네요 이것 좀 빨리 고쳐 주세요,2.0,4,2018-10-28
폰이 노트9인데 이폰쓰면서 처음으로 렉걸려보네요  bj검색해서 bj프로필들어가면 무한로딩만되고 안들어가지네요 수정좀.,1.0,3,2019-1-9
화면 앱 광고 좀 안 나오게 해줘요. 디폴트로 항상 나와서 화면 가립니다!!,1.0,0,2019-7-1
이번업데이트로 시청중 즐겨찾기목록버튼이 사라진거같아요 많이 불편합니다,2.0,0,2019-6-19
크롬캐스트 다 막은 이유가 뭔가요? 이것땜에 별 하나 드립니다.,1.0,0,2019-6-22
미세한 발열과 채팅창 자동종료 사항 자주 팅기는 사항 패치해주셨으면 합니다,3.0,0,2019-6-27
채팅치려고하면 갑자기 바가 사라지고.. 채팅창도 가끔씩 사라지네요..,1.0,0,2019-8-9
외부플레이어 이용하라고 자꾸 튕기는데 어떻게해야함? 아 진짜 왜 갑자기 이따구로 됐지,1.0,0,2019-8-22
장난치는건가? 회원가입 하려고 신상 다적고 인증했더니 이미 가입했대서 아디 찾는데 인증하고 비번 찾는데 인증하고 로그인 했더니 보호된 아이디래서 또 인증해서 풀었더니 이번엔 아이핀이 보호됐다고 또 쳐인증하라네?,1.0,0,2019-9-22
대규모업뎃 아니고 자잘한 버그수정이면 꼭 업데이트 안해도 볼수있게좀 해주시죠? 잘안보다가 어쩌다 어 오늘 이 발송 꼭봐야지 하고 볼려치면 업데이트 하라는 창떠서 보려다가 아프리카 볼 마음 뚝 떨어뜨림,1.0,1,2019-10-24
혹시 가능하다면 화면잠금상태에서도 앱실행 가능하게 해주실 수 있나요? 소리만으로도 들을 수 있게요,4.0,0,2019-11-11
아이폰7+ 쓰고 있는데 생방보다가 네트워크환경이 불안정하다면서 튕겨요. 트위치는 잘되던데 왜그런건가요?,2.0,0,2019-12-1
티비로도볼수있음좋겠어요;; 유프러스티비거든요 챗을 쓸때 화면을 반을 가려서 목도 아프고 불편하거든여 편하게 볼수있기를,3.0,0,2019-12-23
가끔씩 어플로 방송을보면 버퍼링때문에 화면이 나오질않아요,1.0,3,2018-12-28
다른건 다 좋은데 방송국에 사진 올릴때 한꺼번에 되는게 아니라 하나하나 선택해서 올려야되는부분이 불편해요,4.0,1,2018-12-25
채팅창을 관리하니 마니 하네...내가 쓰고 싶은 채팅의견을 쓰지도 못하고 혹여나 쓰면 강퇴나 밥먹듯 일삼고 그걸 이용해서 뭔 감투를 쓴마냥 비아냥대고 방송을 하는건지 친목질을 하는건지 중고딩 놀이 하는건지 뭐하는건지...자유스럽게 방송을 한다기 보단 그냥 별풍 유도 뿐이고 타비 언급 하지말라는 이유는 도대체 이해도 안되고 더더욱 운영자가 이거 해라 저거 해라 하는 자체가 이해가 안감..누구나 알수 열람 할수 있는 공지 메뉴얼도 없고...유튜브 보면 자유롭게 통제 없어도 알아서 매너를 지키는데...또 이거 보고 아프리카 애들은 장문충...,1.0,4,2019-4-8
서버접속이 실패했다는데 와이파이도 정상인데 왜 안돼는 겁니까?,1.0,0,2019-1-9
pc앱은 버퍼링이 덜한데 안드로이드 앱은 버퍼링이 엄청 심하네요 타 플랫폼인 youtube랑 비교될 정도로,2.0,1,2018-10-16
가입 할려고 하는데 자동가입 방지 맞는데 틀려다고 오류나는거 수정 부탁합니다 영상이라도 찍어서 보내주고싶어요,1.0,0,2019-1-8
"구글회원가입,아프리카TV회원가입 본인확인아이디 비밀번호 2차 비밀번호 이메일주소 이름 년/월/일 이미지사진을찍었습니다 김혜림님전화상담을왔습니다 닉네임변경/아이디/본인확인이미지입니다",5.0,3,2019-3-5
"안드로이드 업데이트 후, 라디오 모드하면 소리가 작아집니다. 해결 좀 부탁드려요.",1.0,6,2019-4-24
sw디코더설정을해야 방송을 볼수있다는데 설정해도 자꾸똑같은멘트만 뜨고 방송을 볼수없음 나만그런가,1.0,0,2019-1-4
아니 패치받았더니 어플을끄고다시해도 라디오모드가안풀려요 이딴식으로 패치하지마세요,1.0,0,2018-11-3
아니 어제 아프리카 tv를 시청하고 있는데 갑자기 시스템.변경이나 사이버 테러 라는 문구가 뜨더니 그이후로 앱이 강제 종료가 되고 실행을 할수 가 없네요...........,2.0,0,2019-3-17
다시보기 라디오모드 사용하면 휴대폰 잠금상황에서 끊깁니다 빠른수정 업뎃좀,2.0,0,2019-6-17
모바일에서 방송보면서 즐찾한 다른 방송 확인 기능이랑 화면비율조정기능 사라진게 불편하네요,1.0,1,2019-7-26
아니 어떻게 업데이트할 때마다 더 불편해지냐구요  가만히있으면 중간은 간다는말 모름?? 하 참나 ,1.0,2,2019-6-23
업데이트 이후 크롬캐스트로 볼수가 없요 기존에는 버튼이있었는데 업뎃후 사라졋습니다,1.0,0,2019-6-24
잘보고 잇엇는데 업데이트 후에 시청중에 화면이 자꾸 꺼집니다 빠른 조치 부탁점여,3.0,1,2019-6-21
잘 만 되다거 갑자기 하드웨어 디코드 바꾸라하고 원래 똑같은 디코드 사용했었는데 자꾸 안 된다고 하네요 바꿔주세요,1.0,0,2019-6-22
업데이트 이후로 계속 아프리카가 계속 중지되었다면서 방송이 꺼집니다 어찌해야됩니까 해결책이없네요....,1.0,0,2019-6-27
이번업데이트이후 시청자도안보이고 화면비율도그렇고 여러가지로 불편합니다...,1.0,0,2019-6-27
업데이트이후로 별풍선 아이콘옆에 뜨는거 거슬리는데 끌수가없네요.,3.0,0,2019-6-30
업데이트 왜 한겁니까? 버퍼링도 전보다 심해지고 방송시청하고 있을때 즐겨찾기도 못보고 돈받으시면 돈받은 값좀 하십쇼 제발,1.0,2,2019-7-17
업뎃후에 테블릿에 블루투스 키보드로 채팅입력이 안됩니다.... 개선해주세요,1.0,0,2019-7-27
vod 다시보기를 팝업창으로 띄워놓으면 영상이 멈추네요. 수정해주세요.,3.0,0,2019-8-13
재발 다른거 않해줘도 대니까 가입 방법좀 박규쥬세요 제발 .. 맨날 안댄다고 하고 그렇고 다해도 오류가떳습니다 라고떠서 처음으로돌아가고. 제발 부탁입니다,1.0,0,2019-9-18
갑자기 업데이트 된다음부터 원스토어 결제를 할때 튕기고 결제 진행이 안되고 있습니다,5.0,0,2019-11-2
회원가입 할려고하는데 계속 가입정보가일치하지않다고뜨네요;,1.0,0,2020-1-3
아니 방송하기 오디오 품질향상만 업데이트 해놨으면서 귀찮게 왜 다시 깔게 만드냐 머 모든 사람들이 비제이냐?,1.0,2,2019-4-9
v20 사용중인데 전체화면을 해도 스크린에 꽉 안채워저네요. 양옆이 남아요,1.0,0,2019-4-10
저 그전 부터 아프리카 티비 사용해보고싶었던 사람인데요... 회원가입을 해야되는데 회원 가입 들어가서 동의가 안눌러 져서 좀 문제입니다. 왜 이런가요 ????,1.0,13,2018-11-24
버퍼가너무심해요 개인버퍼인건알지만 와이파이는 풀칸다차있고 화질도 일반화질로보는데 짜증나고 영상자체를 시청할수가없내요,1.0,9,2018-12-9
방송은 여러방송을 접할수 있어 좋으나.소수의 거친 bj들의 무분별한 언어 사용으로 인해 굉장히 마음에안듭니다,1.0,68,2019-1-31
"회원가입이 안됨 아니,,,본인확인까지 다하고 다음으로가기 눌렀더니 본인확인을 또하라는게 말이되냐...",1.0,0,2019-3-14
왜 계속 버퍼링이 걸리면서 영상이 나가질까요?이거 수정 부탁드립니다,3.0,0,2019-1-7
"안녕하세요! 삼성 갤럭시 탭 s4 쓰는데, 정품 키보드로 채팅 할 수 가 없네요... 확인 부탁드립니다...",3.0,1,2019-6-23
화질마다 버퍼링 차이가 잇고.. 팅김 현상도 심하지.. 이 부분만 신경 써준다면  평생 오래 쓸 수 잇는대 글구 제가 왜 별점 5개 주는지 무슨 뜻 하는지.알겟죠? ,5.0,90,2019-7-11
vod 일시정지하고 재생하면 이상한데로 몇분전으로 가진다 좀 고쳐라.,1.0,0,2019-7-26
진짜 개같네요. 제대로 설정되지도 않고 뭐하자는거야 도대체???? 진짜. 별 하나 주는것도 아까워요,1.0,0,2019-8-7
아프리카tv 플레이어 하나는 진짜 기가 막히게 만들었다. 팝업상태에서 크기조절되는거 진짜 편함. 유튜브 프리미엄도 이런기능 좀 생겼으면,5.0,2,2019-10-23
너무 좋아요 혹시 즐겨찾기 한 방송을 방송보다가 넘어가는 시스템은 없어진거에요?,5.0,5,2019-7-26
광고는 안끊기는데 방송만 들어가면 버퍼링 걸리면서 오지게 끊기네요^^ 왜 광고는 안끊길까요,1.0,1,2019-10-26
패치 후 안드로이드폰으로 VOD 시청시 5분정도 지나면 자동화면 꺼집니다 뭘 만진건가여,3.0,1,2019-11-2
아프리카tv 시벨럼들아 카톡오면 화면 멈추는거 없에봐라,1.0,0,2020-2-26
시청자 수용도 못할거면 왜만들었냐 철구 복귀방송 40분기다려서 겨우들어갔다,1.0,0,2020-5-31
업셋이 안되서 시청못하고 있어요..왜그러죠? 새폰으로 바꿨는데..,1.0,0,2019-11-12
왜 업데이트할때마다 앱이 구려지는지 궁금하다,1.0,4,2020-2-8
아 가끔씩 접속이 안대는데 데이터빵빵해서 다른건 잘대는데 삭제하고 해도그렇고 개판이네,1.0,0,2019-1-9
6.18 업데이트이후 5분이상 시청못하고 종료된다 이럴거면 왜 업데이트했는지 의문,1.0,1,2019-6-18
알람은오는데 소리가왜안나죠? 그리고알람은무슨방송시작한지4분늦게오고,1.0,0,2019-6-19
"업데이트후 넘불편하네요 화면비율,방송중 즐겨찾기 버튼 추가해주세요",1.0,1,2019-6-20
방송 시청중에 즐겨찾기 항목 볼 수 있는거 사라졌나요? 그거 정말 편한데 다시 추가하면 좋겐어요,5.0,1,2019-7-13
업뎃하고 뭐같이바뀜  확대기능도이상하고 채팅도 보거나 안보거나밖에로 못설정하고 ,1.0,1,2019-7-27
"v.4.2.0 업데이트 내용 한별1004님의방송국,보킹님방송국 휴면정지을합니다 개발자,대표이사,운영자님서버ip주소10000건삭제입니다 뜨밤부부,뚱스1,돈판돈님축하합니다",5.0,0,2019-8-6
이딴걸 앱이라고  에드벌룬 후원 할수있다면서 안되는데  실행까지 하래서 했더니 되지도 않고 왜그러냐 짜증나게; 1개도 아까움,1.0,0,2019-8-21
진짜 업뎃하기전 모바일로볼때는 버퍼링 심하게안걸렸는데 업뎃하고나서 버퍼링이 장난없네요 진짜로 짜증나서 리뷰씁니다,1.0,0,2019-9-7
아니 전 다 좋은데 계정이 안만들어진다고요 계정이!!  아 진짜... 계정 만들게해주세요.. 계속계속 튕겨요......,2.0,0,2019-11-25
방송보는데 계속 끊기네요. 화면에 버퍼링이라고 뜨진 않는데 왜 자꾸 끊기는거죠 해결방법아시나요,3.0,3,2020-1-1
아니 왜또 알람이 안오는건대요설정 다햇는대,1.0,0,2020-1-13
잼있고 에 비해 초중고한테는 좋은거같아요^^,5.0,0,2020-2-28
방송 시청중 버퍼 걸린 후에 매니저채팅 안들어가져요,3.0,0,2020-3-3
이거 정말좋아요 유튜브에서보던분들을여기서보니깐더실실간이어서정말좋아요 꼭 이거써보세요 강추입니다,5.0,1,2018-11-27
아프리카 보는데 갑자기 버퍼 걸리면서 화면이 꺼졌다가 다시 켜지는데 왜그런거죠?,1.0,1,2018-10-9
라디오모드에서 화면전환 오류 좀 고쳐주세요  두세번 재다운 받았어요 ,1.0,1,2019-4-6
별 하나도 아까움. 갑질은 물론이고 운영자들이 맘에 안들면 정지 몇일이나 채금 영정 조취. 이러니 비제이들이 타 플랫폼으로 갈아타지  그리고 유저들의 답글은 건성건성. 기만한 태도로 운영하고 있으니 유저들이 떨어져나가지,1.0,0,2019-3-7
광고 진짜 양심없다; 어차피 이제 성인방송플랫폼이랑 다를것도 없는데 걍 망했음 좋겠다,1.0,0,2019-10-28
방송에 안들어가짐. 계속 검은화면에 동글뱅이만 돌아감 ,2.0,3,2018-9-22
라디오모드하고 나면 다른방송 볼때도 라디오모드가 지속되고 정상적으로 돌아오지가 않아요,1.0,1,2019-1-31
일반화질로 봐도 렉걸릴거면 원본화질은 도대체 왜 있으며 퀵뷰는 왜 있는건지... 컴퓨터로 봐도 렉걸리고 폰으로 봐도 렉걸리고 방송을 보라는 건지 말라는 건지 모르겠다,1.0,3,2018-11-30
화면 자동꺼짐 수정부탁드립니다. 실망스러운 업데이트였네요,1.0,0,2019-6-19
다시보기하는데 프레임이 왜 이리 떨어지죠 화질도 낮췄는데 뚝뚝 끊겨서 볼 수가 없어요,3.0,1,2019-10-4
별 반개도 아까운데 리뷰남길려고 별 넣은거임 보다가 이유없이 어플 꺼짐1 난 트위치로 갈아탄다 2 일 개 같이 하는데 볼 이유가 없지 3,1.0,0,2019-10-30
창모드 뛰우기눌르면 이상하게도 먹통이나오네요? 다른타비목소리만 나오구 이상한악몽꿈꾸는소리?,1.0,0,2019-11-19
20초에 한번씩 툭 툭 끊기는거 어떻게 좀 안되나요 ??? 다른분들도 그런거같은데 끊기는거 해결좀 해주세요 짜증나 죽겠음,1.0,1,2019-12-11
풀와이파이에서도 버퍼링에 튕김증상 심하네요 뭐보질못하네. 30초에한번번씩 퍼링들어가는데어찌보나요,1.0,3,2019-3-20
데이터 핸드폰 아무문제 없는데 안들어가지네? 운영을 왜 이따구로 하시는지,1.0,0,2019-1-9
앱권한이 왜이래요? 주소록이랑 전화는 권한이 왜 필요하죠?? 권한을 풀지않으니 앱실행이 안되서 개인정보 유출 때문에 바로 삭제했어요,1.0,3,2019-4-18
매일 유튜브에서 보면 영상을 기다려야 하는데 여기서 회원가입하고 쉽게 내가 좋아하는 비제이 생방송으로 볼수 있어서 좋음,5.0,2,2019-1-31
아니 회원가입에서 인증 다 됬는데 왜 본인 인증이 안됬다고 로그인이 안되냐? 운영자 제대로안해? 일주일째 하고있는데. 응 신고각,1.0,27,2019-2-25
서버관리가 안좋습니다.. 버퍼링도 심하고 툭하면 서버터지고 ,1.0,0,2019-1-9
버퍼링도 엄청 심하고 화면이 정지 될때도 많습니다... 너무해요...,1.0,2,2019-4-1
앱업뎃후 하나시청후 다른분시청할시 팅겨요 앱삭제후 재설치해도 똑같네요 계속 그럽니다 제발 확인좀...,1.0,0,2019-6-12
방송 보고 있는 중에 화면은 계속 꺼지고 방송 보면서 스트레스 푸는데 더 스트레스 받네요,1.0,0,2019-6-23
화면비율설정 하는거 왜 없어졌나요.... 다시 생겼으면..,1.0,0,2019-6-27
항상 느끼지만 업데이트를 왜하냐 업데이트를 해도 버그가 많은데....,1.0,0,2019-7-26
아프리카tv 라디오모드하면 나중에 소리가 지지직울려요 폰은 갤럭시s10+ 쓰고있습니다 ,3.0,0,2019-8-7
방송들어갈때 자꾸 나와지게 되는데 그것좀 안되게 개선을좀 해주세요.....,3.0,0,2019-10-31
pc로 다시보기 보는데 영상이 자꾸 멈춤 그래서 다시 다시보기 사이트를 재접속해야됨,1.0,1,2019-11-27
광고에미침그냥  볼때마다 최소15초기달리고봐야대누 그지같은거 돈미새구만,1.0,0,2020-1-16
방송보는데 자꾸화면이 멈춰요 언제해결되요;;,1.0,0,2020-1-18
무슨 네이버 이메일 집어넣었더니 이메일이 아니래?! 바로 지우고 유튜브로 갑니다,1.0,1,2020-3-3
아니 이거 로그인할때 인증이 않된다고 뜨는데여,1.0,0,2020-4-30
아프리카가 갑자기 접속이 안돼네요. 휴대폰도 다시 시작 도 해 봤는데 안돼네요.,1.0,0,2019-1-9
켤때마다 라디오모드가 되고 껏다켜도 자동라디오모드가되고 오류언제고치냐?,1.0,0,2018-10-24
v40으로 폰 바꿧는데 비제이방송키면 알람이 왜안울림??앱지웠다다시깔고 알람설정 폰설정 아프리카앱에서다해봤는데 안떠요 뭐가문제죠?,1.0,0,2019-3-21
렉이 많이걸려서 통신문제를 해결하고 화질개선을 해줬으면좋겠다.,4.0,0,2019-1-31
이상하게 소리가 계속울려요 뭐가 잘못된건지 모르겠어요 방송이이상한건지 앱이이상한건지,4.0,2,2019-3-31
만 3세 이상인데 왜 전 안되는걸까요? 로그인이 그것 좀 고쳐주세요,1.0,0,2019-6-6
오디오모드한다음에 알림창에서X누른다음 아프리카티비 방송 들어가면 오디오모드를 영원히 헤제못함 이것좀 고치셈,1.0,0,2019-6-4
역시 나만그런거 아니였네이거 업뎃하고 다시보기 보는데 보다보면 버퍼에다가 갑자기 12초 뒤로갔다 앞으로갔다개판됐음 .폰이나 pc 다 마찬가지 에혀,1.0,1,2019-6-2
세로로하면 채팅창이 안생겨요!!! 겔탭4 사용중 개선 ,1.0,0,2019-6-26
말도안되게 허접함 너무 많이끊켜. 돈아낄려고발악하는게눈이보임,1.0,1,2019-6-27
솔직히 전 버전이 더 나음 채팅창은 미친 계속 사라지네 ,1.0,0,2019-7-26
전에 있던 현재 즐겨찾기한 방송리스트 보는 기능이 사라진게 아쉽네요,4.0,0,2019-7-26
업데이트 이후 10초에 1번씩 화면과 음질이 끊김 개짜증,1.0,1,2019-8-26
비밀번호 찾기 인증 성공했는데 다시 찾기로 계속 넘어갑니다.. 피드백주세요,1.0,1,2019-10-14
오류가 심합니다 VOD 보다가 전체화면으로 안될때가 많아요,2.0,1,2019-10-30
다좋은데 렉이 너무심해요;;렉걸릴때마다 지웠다 깔았다 반복해야됨. ...,4.0,2,2019-12-9
별한개도 아까움 채팅창 다크모드 사라지고 배경색선택생겻는데 작동하지도않음 트위치좀 보고배울것,1.0,1,2019-12-13
비제이가 메인방송통해서 모바일 방송 비번방 연동할때 즐겨찾기에서 Live 보기하면 비번치는걸로 나와요 개선해주셨음 좋겟습니당,5.0,3,2019-12-24
와이파이로 보는데 밤에는 1-2분에 한번씩 버퍼링걸리고 끊겨서 제대로 볼수가없음...,2.0,0,2019-5-11
아니 무슨 로그인을 아이디도 맞고 비번도 맞는데 왜 로그인안되 로그인이 ;;,1.0,2,2018-10-14
모바일 사용자인데요폰초기화하고비번바꺼도왜로그가안돼나요 5만원결제 한거 있단말입니다,2.0,0,2018-12-3
인증하는걸 왜 하루마다 제한을 하는지 모르겠네요 그리고 메모에도 쓰고 그대로 로그인 했는데 안돼네요 해결해주세요,1.0,1,2018-10-29
안드로이드에서 전체화면으로 넘겼을때 왜 상태창이 안사라지죠?그거때문에 아래 계속 짤리는데 제 설정 문제인가요??,1.0,1,2019-2-19
갑자기 데이터베이스 오류라더니 껏다키니까 서버접속 실패했다고만떠요 지웠다 깔아도 계속그래요,3.0,1,2019-1-9
항상감사합니다 좋은방송을위해 열심히노력해주셔서 여성비제이님들 옷이요즘따라 더야해진네요 한두번씩 경고좀주세요 이상한시선으로 보시는 시청자들이 많아서요 부탁드립니다,5.0,34,2019-3-11
다시보기볼때 광고뜨면 영상이 안나와서 스킵도 못하고 소리만 들어서 정말 불편합니다,2.0,0,2019-2-8
라디오 모드가더불편해지고 더욱 끊기는게많아졌습니다,1.0,0,2019-6-5
이번 업뎃하고 편해진건 사실인데 보다가 카톡 하고 다시 틀면 앱 종료됫다고 꺼져서 다시 들어가서 틀어야됨 뭐같네여,2.0,0,2019-5-31
티비와 연결되는부분 정말 잘쓰고있었는데 왜사라진지 모르겠네요 다시 복구해주세요,3.0,0,2019-6-19
시청 중에 즐겨찾기 목록 보는 기능 왜 없어진 건가요?,1.0,1,2019-7-6
최악.방송중 즐겨찾기 보는거 없앤건 진짜 . 편의보단 돈. 역시,1.0,1,2019-7-27
노트10플러스 요금제 10만원짜리 5g 쓰는사람인데 아프리카 업데이트하고 나서 라디오 모드하고 폰화면을끄면은 소리가 노이즈비슷하게 지지지지직 하면서 들려요..해결해주세요..;,1.0,2,2019-9-29
아니 패치하고 와이파이로는 방송국 안들어가져요 늦게 들어가지거나 동영상은 잘나오는데;;,3.0,0,2019-11-2
아프리카tv 들어갈려고하는데 계속 대기화면? 파란창만 뜨고 안들어가는데요!!!!관리자님,5.0,1,2020-5-25
중계방에 있는 운영자 갑질이 심하네요 조금만 어그로성 채팅치면 채금도 아닌 바로 강퇴해버리네요 알바(운영자)들좀 교육좀 시키세요,4.0,0,2019-12-21
"갓구때문에 다시 설치한다 .. 10퇴물어플 ,,",1.0,0,2020-5-28
너무 버퍼링이 심함 와이파이도 빵빵하고 폰도좋은데 버퍼링이 자꾸 걸리네요,1.0,0,2019-8-3
아프리카 아이디 오류가 있네요. 회원가입을 해도 ID 형식이 잘못되었다고 하는데.. 해결방법도 모르겠고.. 참,2.0,21,2019-1-14
아니 보다가 계속 최고화질에서 고화질로 변하고 최고화질 되면 %으로 계속 버퍼링 걸림 ;;;,1.0,0,2018-12-2
포코폰에서 16:9 해상도 전체화면 안되는거 언제 고쳐줘요? 넘 불편해요,1.0,12,2018-10-26
VOD시청할때 너무 많이 끊기네요 수정 부탁드립니다,2.0,0,2018-9-30
크롬캐스트 좀 안끊기게 지원해주세요 다른 플랫폼은 다 잘 나오는데 유독 아프리카만 제대로 안나오네요,4.0,0,2019-1-11
업뎃 이후 핸드폰으로 시청자 목록을 볼수 없네요? 어디 숨겨져 있는건데 못찾는건지....,3.0,0,2019-7-31
업데이트 자주 해서 빡침 업데이트 억지오 하게 만들어서 빡침,1.0,0,2020-2-29
아니 왜 자꾸 자동가입방지 문자가 틀렸다고 함?????????그것때문에 아직도 가입 못함,1.0,0,2020-3-12
아니 이거 버퍼링 너무심해요;; 좀 고쳐주세요,1.0,0,2020-4-2
다 좋은데요 이메일로도 가입하게 해주시면 안되요,5.0,0,2020-4-4
와이파이에서 LTE로 바꿀때나 반대로일때 앱이 멈춤 강제종료해야됨 S8+,2.0,0,2018-10-23
버퍼링이 너무심해졌어요 갑자기 10초도안지났는대연달아서 버퍼링걸리고 그냥 뒤진쓰레기 어플,1.0,3,2018-10-24
이 어플 네트워크 연결인가 서버가 불안정하다고 알림바가 뜨는데 해결좀 해주셈 삼성에 문의하고 답변받은거니까 해결부탁드림,1.0,6,2018-12-26
업데이트 후 팝업창에서 화면이 자주 멈춤니다..,1.0,0,2019-4-9
잘되다가 갑자기 접속이 않됩니다. 이건 제문제가 아니라 아프리카 문제인거 같아요. 방법이 없을까요??,1.0,1,2019-1-9
5년이상 사용하고 있는 어플입니다 정규방송 않할때나 재미 없는거할때 보면 재미가 솔솔해요,5.0,0,2019-6-3
좋아요. 근데 가끔씩 일시적 시청오류 발생해서 새로고침 해야되는 번거로움이 있습니다.,5.0,15,2019-6-3
아니 업데이트 하고나서부터 30초 단위로 랙걸리는건 무슨경우인가요? 랙 업데이트 하신건지...참,1.0,0,2019-6-3
업데이트가 안하니만 못함........ 더 구려지고 불편함 이럴거면 예전거를 선택할수 잇게 해주쇼,1.0,4,2019-6-22
채팅장 가로모드에서 왜 갑자기 안없어짐?? 빨리 해결좀,3.0,0,2019-7-27
갑자기 크롬캐스트 연결이안되네요 타플랫폼은 다되는대 아프리카만안되요;,2.0,0,2019-8-8
다른 유튜버들 게임을 보면서 많은것들을 배울수있고 많이 소통할수있어요.,5.0,0,2019-11-11
용량드럽게 잡아먹네 업뎃할때마다 업뎃다운로드다됫다하고 3번이상다운받는것도문제있고 진짜짜증난다,1.0,0,2019-11-9
채팅창 배경 검정색드로 돌려놔요. 아니면 설정가능하게 하던데 밤에 영상보다가 시력 -되겟네,1.0,1,2019-12-1
아이씨 진짜 세로보기할때 채팅창 백그라운드 색 왜 흰색으로 고정되서 안변하는데요  설정드가서 바꾸려해도 아예 동작안하네 아씨,1.0,1,2019-12-13
아니 버퍼링이 한번 시작하면 버퍼링이0%에서 안올가잖아요 이거는 그냥 보지 말라는거잖아요 빨리 수정 부탁드려요,1.0,4,2018-12-9
아 자동 로그아웃좀 그만시켜라  아이디 비밀번호 찾기도 귀찮다,1.0,3,2018-10-7
채팅창 업데이트 수정해주세요 채팅창이 영상을다 가려서 불편해요 길이조절가능하게해주세여,3.0,0,2019-2-1
s9+인데 풀 모드해도 화면이 밑에가 잘려요. 다시 깔아도 똑같네요.,1.0,1,2019-2-24
버퍼링이 엄청심하고 채팅창이너무커요 버퍼링하고 렉개선하면좋겟어요,1.0,0,2019-2-2
자꾸 라디오모드로 들어가지고 그냥 보는걸로 선택하면 방송화면 안보여요,1.0,2,2019-5-2
다좋은데모바일 이번에업데이트는 방송보는중에 즐찾넘어가는거 없어져서 불편하네요 풍도 계속뜨고,3.0,1,2019-7-10
이번업데이트좋은데 기존 모바일 화면비율 바꿀수있는거 없어졌나요?? 4:3비율로 보고싶은데 없네요,5.0,0,2019-6-18
방송 시청중에 즐겨찾기 목록 보는게 사라졌어요 이 기능좀 다시 살려주세요,4.0,0,2019-6-18
소리는 나는데 방송화면이 뚝뚝끊김.  고쳐주십쇼 갤노트9임요,3.0,0,2019-9-25
티비 셋톱박스로 잘 보고 있었는데 업데이트 후 다른앱 그리기 권한 때문에 실행안됨,1.0,0,2019-10-30
비로그인으로 최근본 방송 리스트 어디서 봅니까? 진짜 접근성 불편하게 만들어놨네요,1.0,3,2019-11-5
씨팔 먼놈에 업데이트를 이렇게 자주하냐 죶같은거 쓰지도 않는 이모티콘 같은거 싹다 삭제좀 하고 인터페이스도 가볍게 바꿔라 용량 라이트하게 줄일 생각안하고 이상한거 자꾸 펴 쳐넣냐 왜,1.0,0,2019-11-23
갤럭시탭 E 8.0으로 방송을 키면 자꾸 팅김현상때매 힘들어요;;좀 고쳐주세요이거,2.0,1,2019-12-12
